City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
425,Ucluelet,CA,52.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
430,Matamoros,MX,62.82,broken clouds,25.5333,-103.25,Quinta Belem
442,Susaki,JP,59.07,clear sky,33.3667,133.2833,Awa
443,Medea,DZ,43.25,broken clouds,36.2642,2.7539,Hôtel M'Sallah
445,Burns Lake,CA,42.22,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
447,Narok,KE,60.39,light rain,-1.0783,35.8601,OLORROPIL TOWERS
448,Obigarm,TJ,40.05,overcast clouds,38.7173,69.7088,Гармоба
452,Torbay,CA,52.29,light intensity drizzle,47.6666,-52.7314,Gallows Cove
455,Kingseat,GB,46.38,few clouds,56.0974,-3.4084,"Holiday Inn Express Dunfermline, an IHG Hotel"
457,Tortosa,ES,51.24,overcast clouds,40.8125,0.5216,Parador de Tortosa
459,Inhambane,MZ,69.67,clear sky,-23.865,35.3833,Oceano
461,Caohai,CN,40.66,overcast clouds,26.8661,104.2841,Jinhua Hotel
462,Damietta,EG,62.49,scattered clouds,31.4165,31.8133,SULIMAN INN
468,Iquique,CL,64.44,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
471,Khandbari,NP,57.22,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
479,Woodstock,CA,40.66,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
482,Tias,ES,64.15,overcast clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
484,Rusape,ZW,58.28,overcast clouds,-18.5278,32.1284,Surrey Lodge
487,San Carlos De Bariloche,AR,46.56,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
488,Kabinda,CD,66.63,light rain,-6.1333,24.4833,Village Mianda Mutole
492,Albolote,ES,45.34,scattered clouds,37.2309,-3.6551,Hotel BS Príncipe Felipe
493,Tocopilla,CL,64.06,overcast clouds,-22.092,-70.1979,Hotel Galvarino
495,Portland,US,53.73,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
504,Cupertino,US,61.32,clear sky,37.323,-122.0322,Aloft Cupertino
508,Komsomolskiy,UZ,48.92,mist,40.4272,71.7189,Ikathouse
514,Puerto Madryn,AR,61.68,broken clouds,-42.7692,-65.0385,Hotel Tolosa
515,Seoul,KR,44.04,clear sky,37.5683,126.9778,Lotte Hotel Seoul
528,Bethel,US,51.03,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
529,Slave Lake,CA,43.07,few clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
534,Esquipulas,GT,62.64,broken clouds,14.5667,-89.35,Grand Caporal Hotel
536,Roma,US,43.43,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
