City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Nome,US,64.5011,-165.4064,-7.53,65,1,5.75,clear sky
108,Jilin,CN,43.0,126.0,19.4,64,36,4.36,scattered clouds
109,Sale,MA,34.0389,-6.8166,56.08,100,40,10.36,scattered clouds
110,Talnakh,RU,69.4865,88.3972,1.04,97,100,6.24,overcast clouds
111,Sarangani,PH,5.4033,125.4636,82.0,77,100,8.43,overcast clouds
112,Bathsheba,BB,13.2167,-59.5167,77.61,94,20,6.91,few clouds
113,Mint Hill,US,35.1796,-80.6473,53.04,59,1,5.75,clear sky
114,Kodiak,US,57.79,-152.4072,18.91,49,1,23.02,clear sky
115,Rameswaram,IN,9.2833,79.3,79.14,87,100,17.74,heavy intensity rain
116,Christchurch,NZ,-43.5333,172.6333,82.02,25,4,1.99,clear sky
117,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,0,5.75,clear sky
118,Sitka,US,57.0531,-135.33,35.49,93,90,8.05,light rain
119,Faanui,PF,-16.4833,-151.75,82.11,72,11,15.39,few clouds
120,Tommot,RU,58.9564,126.2925,-1.37,93,89,1.68,overcast clouds
121,Iwanai,JP,42.9744,140.5089,36.41,76,95,15.59,moderate rain
122,Suicheng,CN,33.8963,117.9331,52.63,51,0,6.02,clear sky
123,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,58,15.03,broken clouds
124,Araure,VE,9.5601,-69.2148,72.88,93,73,3.62,broken clouds
125,La Ronge,CA,55.1001,-105.2842,16.05,79,75,10.36,broken clouds
126,Saskylakh,RU,71.9167,114.0833,-15.48,99,24,8.52,few clouds
127,Birjand,IR,32.8663,59.2211,37.87,81,0,4.61,clear sky
128,Chokurdakh,RU,70.6333,147.9167,-30.33,100,39,4.07,scattered clouds
129,Mitchell,US,43.7094,-98.0298,24.78,58,1,5.99,clear sky
130,Cocachacra,PE,-17.0883,-71.7575,65.21,80,97,2.04,overcast clouds
131,Avera,US,33.194,-82.5271,58.71,80,28,7.9,scattered clouds
132,Georgetown,MY,5.4112,100.3354,81.9,86,20,1.01,few clouds
133,Sur,OM,22.5667,59.5289,74.25,71,5,3.69,clear sky
134,Port Lincoln,AU,-34.7333,135.8667,61.66,51,65,19.84,broken clouds
135,Coari,BR,-4.085,-63.1414,76.42,87,68,1.12,broken clouds
136,Sola,VU,-13.8833,167.55,81.82,73,5,16.35,clear sky
137,Avarua,CK,-21.2078,-159.775,82.45,78,45,9.22,light rain
138,Svetlyy,RU,54.675,20.1347,39.25,78,100,20.09,overcast clouds
139,Nikolskoye,RU,59.7035,30.7861,40.01,84,100,13.09,overcast clouds
140,Bereda,ES,43.2686,-7.5406,48.92,100,100,5.26,overcast clouds
141,Bankura,IN,23.25,87.0667,68.85,54,0,3.87,clear sky
142,Kavieng,PG,-2.5744,150.7967,84.69,67,79,5.95,broken clouds
143,Biak,ID,-0.9131,122.8766,83.37,70,100,0.49,overcast clouds
