City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Jiran,IN,21-11-22 22:48:47,24.3167,74.8833,66.92,70,0,3.42
217,Komsomolskiy,UZ,21-11-22 22:48:47,40.4272,71.7189,36.82,39,0,0.49
218,Mehamn,NO,21-11-22 22:48:42,71.0357,27.8492,24.71,71,91,8.28
219,Souillac,MU,21-11-22 22:48:48,-20.5167,57.5167,73.78,88,75,6.91
220,Ahipara,NZ,21-11-22 22:48:49,-35.1667,173.1667,68.54,63,26,11.63
221,Tynset,NO,21-11-22 22:48:49,62.2759,10.7824,33.42,91,82,8.41
222,Talaya,RU,21-11-22 22:48:49,61.3833,152.75,-29.61,100,68,1.43
223,Provideniya,RU,21-11-22 22:48:50,64.3833,-173.3,10.51,56,40,13.42
224,Antalaha,MG,21-11-22 22:48:50,-14.9003,50.2788,74.7,79,67,3.6
225,Bilma,NE,21-11-22 22:48:50,18.6853,12.9164,75.47,21,0,7.36
226,Kendari,ID,21-11-22 22:48:51,-3.945,122.4989,77.85,91,69,1.63
227,San Alberto,CO,21-11-22 22:49:51,7.7611,-73.3922,77.77,91,81,4.41
228,Pisco,PE,21-11-22 22:49:51,-13.7,-76.2167,66.25,82,90,6.91
229,Anadyr,RU,21-11-22 22:49:52,64.75,177.4833,-12.5,77,66,11.18
230,Sao Geraldo Do Araguaia,BR,21-11-22 22:49:52,-6.4006,-48.555,78.91,76,97,2.24
231,Mount Gambier,AU,21-11-22 22:49:52,-37.8333,140.7667,66.11,59,100,11.5
232,Kilindoni,TZ,21-11-22 22:45:49,-7.9139,39.6668,80.33,72,99,11.52
233,Coquimbo,CL,21-11-22 22:46:11,-29.9533,-71.3436,60.53,82,75,9.22
234,Yangambi,CD,21-11-22 22:49:53,0.8102,24.4336,69.67,95,89,0.72
235,Manokwari,ID,21-11-22 22:49:53,-0.8667,134.0833,82.15,71,100,1.68
236,Malinovskiy,RU,21-11-22 22:49:54,61.1953,62.8397,14.47,95,100,4.54
237,Andrews,US,21-11-22 22:49:54,32.3187,-102.5457,64.8,24,1,9.22
238,Boquete,PA,21-11-22 22:49:54,8.7833,-82.4333,65.8,91,100,4.07
239,Yaan,NG,21-11-22 22:49:55,7.3833,8.5667,80.47,68,100,8.21
240,Yamada,JP,21-11-22 22:49:55,39.4667,141.95,44.53,62,41,3.56
241,Kahului,US,21-11-22 22:49:55,20.8947,-156.47,85.26,78,40,26.46
242,Greymouth,NZ,21-11-22 22:47:38,-42.4667,171.2,60.85,76,47,8.93
243,Sabha,LY,21-11-22 22:49:56,27.0377,14.4283,67.5,35,74,6.89
244,Drayton Valley,CA,21-11-22 22:49:56,53.2168,-114.9854,38.82,69,100,8.05
245,Njombe,TZ,21-11-22 22:49:57,-9.3333,34.7667,55.36,75,51,1.54
246,Nizhniy Kuranakh,RU,21-11-22 22:49:57,58.8353,125.4869,-11.02,95,100,3.98
247,Kaitangata,NZ,21-11-22 22:49:57,-46.2817,169.8464,59.11,48,8,3.42
248,Faanui,PF,21-11-22 22:49:58,-16.4833,-151.75,80.89,76,57,8.52
249,Hovd,MN,21-11-22 22:49:58,48.0056,91.6419,22.57,45,79,5.86
250,Boyabat,TR,21-11-22 22:49:58,41.4689,34.7667,45.46,69,1,2.68
251,Marzuq,YE,21-11-22 22:49:59,14.4,46.4667,65.19,54,74,1.23
252,Blankenberge,BE,21-11-22 22:49:59,51.3131,3.1323,42.94,82,36,6.24
253,Bhuban,IN,21-11-22 22:49:59,20.8833,85.8333,73.22,94,4,1.52
254,Amapa,BR,21-11-22 22:50:00,1.0,-52.0,73.58,92,62,1.61
255,Hirado,JP,21-11-22 22:50:00,33.3597,129.5531,47.55,68,100,21.16
256,Namibe,AO,21-11-22 22:50:00,-15.1961,12.1522,69.44,74,4,1.7
257,Ola,RU,21-11-22 22:50:01,59.5833,151.2833,-4.86,82,24,12.71
258,Amambai,BR,21-11-22 22:50:01,-23.1042,-55.2258,74.97,43,14,3.18
259,Coihaique,CL,21-11-22 22:50:01,-45.5752,-72.0662,60.75,41,40,10.36
260,Tilichiki,RU,21-11-22 22:50:02,60.4667,166.1,3.06,86,100,9.91
261,Pontes E Lacerda,BR,21-11-22 22:50:02,-15.2261,-59.3353,76.77,91,100,3.4
262,Bridlington,GB,21-11-22 22:50:03,54.0831,-0.1919,43.29,67,74,6.13
263,Sampit,ID,21-11-22 22:50:03,-2.5333,112.95,77.29,89,85,0.47
264,Dicabisagan,PH,21-11-22 22:50:04,17.0818,122.4157,77.85,87,45,8.39
265,Lagoa,PT,21-11-22 22:50:04,39.05,-27.9833,64.96,83,100,24.67
266,Chumikan,RU,21-11-22 22:50:05,54.7183,135.315,23.47,85,100,36.86
267,Yumen,CN,21-11-22 22:50:05,40.2833,97.2,25.03,41,0,24.72
268,Havre-Saint-Pierre,CA,21-11-22 22:50:05,50.2334,-63.5986,46.99,93,90,17.27
269,Bathsheba,BB,21-11-22 22:47:02,13.2167,-59.5167,79.41,78,40,12.66
270,Hoyerswerda,DE,21-11-22 22:50:06,51.4333,14.25,37.2,86,7,5.01
271,Boguchany,RU,21-11-22 22:50:06,58.3814,97.4531,28.51,94,100,8.93
272,Coos Bay,US,21-11-22 22:50:07,43.3665,-124.2179,58.86,85,90,10.36
273,Thai Binh,VN,21-11-22 22:50:07,20.45,106.3333,60.8,68,97,7.9
274,Mandalgovi,MN,21-11-22 22:51:07,45.7625,106.2708,17.4,41,21,8.59
275,Thunder Bay,CA,21-11-22 22:46:39,48.4001,-89.3168,23.56,55,20,13.8
276,Krasnoselkup,RU,21-11-22 22:51:08,65.7,82.4667,18.28,92,100,17.38
277,Jhusi,IN,21-11-22 22:51:08,25.4333,81.9333,61.54,31,0,5.88
278,Bengkulu,ID,21-11-22 22:49:18,-3.8004,102.2655,75.56,88,100,4.0
279,Atbasar,KZ,21-11-22 22:51:09,51.8,68.3333,32.49,97,100,19.91
280,Itaueira,BR,21-11-22 22:51:09,-7.6033,-43.0256,83.28,45,84,4.94
281,Jaisalmer,IN,21-11-22 22:51:10,26.9147,70.9181,67.75,15,0,3.67
282,Kucura,RS,21-11-22 22:51:10,45.5195,19.5838,47.23,86,100,7.36
283,Pueblo,US,21-11-22 22:48:49,38.2545,-104.6091,68.76,15,1,8.05
284,Ayagoz,KZ,21-11-22 22:51:11,47.9714,80.4392,30.2,94,100,18.72
285,Acajutla,SV,21-11-22 22:51:11,13.5928,-89.8275,82.4,68,100,4.41
286,Puerto Leguizamo,CO,21-11-22 22:51:12,-0.1934,-74.7819,75.22,96,100,2.21
287,Cabo San Lucas,MX,21-11-22 22:51:12,22.8909,-109.9124,83.52,64,46,1.01
288,Brae,GB,21-11-22 22:51:12,60.3964,-1.353,48.11,77,99,20.42
289,Bria,CF,21-11-22 22:51:12,6.5423,21.9863,70.92,53,100,3.65
290,Rio Pardo,BR,21-11-22 22:51:13,-29.9897,-52.3781,82.85,38,24,2.08
291,Abu Samrah,SY,21-11-22 22:51:13,35.3029,37.1841,56.05,65,0,0.54
292,Poum,NC,21-11-22 22:51:14,-20.2333,164.0167,78.12,69,100,1.12
